Company,Date,Login,Bake,Active
d5,2016-11-12,1,1,1
d5,2016-11-13,1,1,1
d5,2016-11-14,1,1,1
d5,2016-11-15,1,1,1
d5,2016-11-16,1,1,1
d5,2016-11-17,1,1,1
d5,2016-11-18,1,1,1
d5,2016-11-19,1,1,1
d5,2016-11-20,1,1,1
d5,2016-11-21,1,1,1
d5,2016-11-22,1,1,1
d5,2016-11-23,1,1,1
d5,2016-11-24,1,1,1
d5,2016-11-25,1,1,1
d5,2016-11-26,0,0,0
d5,2016-11-27,0,0,0
d5,2016-11-28,1,1,1
d5,2016-11-29,1,1,1
d5,2016-11-30,1,1,1
d5,2016-12-01,1,1,1
d5,2016-12-02,1,1,1
d5,2016-12-03,0,0,0
d5,2016-12-04,0,0,0
Third Avenue Studio,2016-11-12,0,0,0
Third Avenue Studio,2016-11-13,0,0,0
Third Avenue Studio,2016-11-14,0,0,0
Third Avenue Studio,2016-11-15,0,0,0
Third Avenue Studio,2016-11-16,0,0,0
Third Avenue Studio,2016-11-17,0,0,0
Third Avenue Studio,2016-11-18,0,0,0
Third Avenue Studio,2016-11-19,0,0,0
Third Avenue Studio,2016-11-20,0,0,0
Third Avenue Studio,2016-11-21,0,0,0
Third Avenue Studio,2016-11-22,1,1,1
Third Avenue Studio,2016-11-23,0,0,0
Third Avenue Studio,2016-11-24,0,0,0
Third Avenue Studio,2016-11-25,0,0,0
Third Avenue Studio,2016-11-26,0,0,0
Third Avenue Studio,2016-11-27,1,1,1
Third Avenue Studio,2016-11-28,0,0,0
Third Avenue Studio,2016-11-29,0,0,0
Third Avenue Studio,2016-11-30,1,1,1
Third Avenue Studio,2016-12-01,0,0,0
Third Avenue Studio,2016-12-02,0,0,0
Third Avenue Studio,2016-12-03,0,0,0
Third Avenue Studio,2016-12-04,0,0,0
Cad Associates,2016-11-12,0,0,0
Cad Associates,2016-11-13,0,0,0
Cad Associates,2016-11-14,0,0,0
Cad Associates,2016-11-15,0,0,0
Cad Associates,2016-11-16,0,0,0
Cad Associates,2016-11-17,0,0,0
Cad Associates,2016-11-18,0,0,0
Cad Associates,2016-11-19,0,0,0
Cad Associates,2016-11-20,0,0,0
Cad Associates,2016-11-21,0,0,0
Cad Associates,2016-11-22,0,0,0
Cad Associates,2016-11-23,0,0,0
Cad Associates,2016-11-24,1,1,1
Cad Associates,2016-11-25,0,0,0
Cad Associates,2016-11-26,0,0,0
Cad Associates,2016-11-27,0,0,0
Cad Associates,2016-11-28,0,0,0
Cad Associates,2016-11-29,0,0,0
Cad Associates,2016-11-30,0,0,0
Cad Associates,2016-12-01,0,0,0
Cad Associates,2016-12-02,0,0,0
Cad Associates,2016-12-03,0,0,0
Cad Associates,2016-12-04,0,0,0
Copper Design Associates,2016-11-12,0,0,0
Copper Design Associates,2016-11-13,0,0,0
Copper Design Associates,2016-11-14,0,0,0
Copper Design Associates,2016-11-15,0,0,0
Copper Design Associates,2016-11-16,0,0,0
Copper Design Associates,2016-11-17,0,0,0
Copper Design Associates,2016-11-18,0,0,0
Copper Design Associates,2016-11-19,0,0,0
Copper Design Associates,2016-11-20,0,0,0
Copper Design Associates,2016-11-21,0,0,0
Copper Design Associates,2016-11-22,0,0,0
Copper Design Associates,2016-11-23,1,1,1
Copper Design Associates,2016-11-24,1,1,1
Copper Design Associates,2016-11-25,0,0,0
Copper Design Associates,2016-11-26,0,0,0
Copper Design Associates,2016-11-27,0,0,0
Copper Design Associates,2016-11-28,0,0,0
Copper Design Associates,2016-11-29,1,1,1
Copper Design Associates,2016-11-30,0,0,0
Copper Design Associates,2016-12-01,0,0,0
Copper Design Associates,2016-12-02,0,0,0
Copper Design Associates,2016-12-03,0,0,0
Copper Design Associates,2016-12-04,0,0,0
Space Define,2016-11-12,0,0,0
Space Define,2016-11-13,0,0,0
Space Define,2016-11-14,0,0,0
Space Define,2016-11-15,0,0,0
Space Define,2016-11-16,0,0,0
Space Define,2016-11-17,0,0,0
Space Define,2016-11-18,0,0,0
Space Define,2016-11-19,0,0,0
Space Define,2016-11-20,0,0,0
Space Define,2016-11-21,0,0,0
Space Define,2016-11-22,0,0,0
Space Define,2016-11-23,1,1,1
Space Define,2016-11-24,1,1,1
